n:60 mse_avg:242.67 mse_y:363.52 mse_u:0.90 mse_v:0.99 psnr_avg:24.28 psnr_y:22.53 psnr_u:48.58 psnr_v:48.17 
n:61 mse_avg:396.67 mse_y:593.99 mse_u:1.92 mse_v:2.11 psnr_avg:22.15 psnr_y:20.39 psnr_u:45.30 psnr_v:44.90 
n:62 mse_avg:548.12 mse_y:820.10 mse_u:4.03 mse_v:4.30 psnr_avg:20.74 psnr_y:18.99 psnr_u:42.08 psnr_v:41.79 
n:63 mse_avg:502.29 mse_y:752.01 mse_u:2.71 mse_v:2.98 psnr_avg:21.12 psnr_y:19.37 psnr_u:43.80 psnr_v:43.39 
n:64 mse_avg:212.09 mse_y:317.65 mse_u:0.92 mse_v:0.98 psnr_avg:24.87 psnr_y:23.11 psnr_u:48.47 psnr_v:48.24 
n:65 mse_avg:391.66 mse_y:586.81 mse_u:1.35 mse_v:1.36 psnr_avg:22.20 psnr_y:20.45 psnr_u:46.83 psnr_v:46.79 
n:66 mse_avg:549.90 mse_y:822.99 mse_u:3.71 mse_v:3.74 psnr_avg:20.73 psnr_y:18.98 psnr_u:42.44 psnr_v:42.41 
n:67 mse_avg:549.44 mse_y:822.54 mse_u:3.23 mse_v:3.22 psnr_avg:20.73 psnr_y:18.98 psnr_u:43.04 psnr_v:43.06 
n:68 mse_avg:529.25 mse_y:792.60 mse_u:2.58 mse_v:2.56 psnr_avg:20.89 psnr_y:19.14 psnr_u:44.02 psnr_v:44.05 
n:69 mse_avg:302.56 mse_y:453.16 mse_u:1.31 mse_v:1.42 psnr_avg:23.32 psnr_y:21.57 psnr_u:46.95 psnr_v:46.62 
n:70 mse_avg:206.50 mse_y:309.36 mse_u:0.74 mse_v:0.80 psnr_avg:24.98 psnr_y:23.23 psnr_u:49.43 psnr_v:49.09 
n:71 mse_avg:407.77 mse_y:610.91 mse_u:1.43 mse_v:1.55 psnr_avg:22.03 psnr_y:20.27 psnr_u:46.58 psnr_v:46.23 
n:72 mse_avg:416.54 mse_y:624.04 mse_u:1.43 mse_v:1.63 psnr_avg:21.93 psnr_y:20.18 psnr_u:46.58 psnr_v:46.01 
n:73 mse_avg:161.84 mse_y:242.29 mse_u:0.78 mse_v:1.10 psnr_avg:26.04 psnr_y:24.29 psnr_u:49.22 psnr_v:47.71 
n:74 mse_avg:141.84 mse_y:212.23 mse_u:0.89 mse_v:1.22 psnr_avg:26.61 psnr_y:24.86 psnr_u:48.65 psnr_v:47.28 
n:75 mse_avg:150.93 mse_y:225.86 mse_u:0.89 mse_v:1.23 psnr_avg:26.34 psnr_y:24.59 psnr_u:48.66 psnr_v:47.25 
n:76 mse_avg:150.91 mse_y:225.84 mse_u:0.90 mse_v:1.23 psnr_avg:26.34 psnr_y:24.59 psnr_u:48.61 psnr_v:47.22 
n:77 mse_avg:188.24 mse_y:281.84 mse_u:0.88 mse_v:1.23 psnr_avg:25.38 psnr_y:23.63 psnr_u:48.68 psnr_v:47.24 
n:78 mse_avg:238.01 mse_y:356.43 mse_u:0.97 mse_v:1.33 psnr_avg:24.36 psnr_y:22.61 psnr_u:48.27 psnr_v:46.88 
n:79 mse_avg:342.66 mse_y:513.32 mse_u:1.15 mse_v:1.53 psnr_avg:22.78 psnr_y:21.03 psnr_u:47.53 psnr_v:46.27 
n:80 mse_avg:393.69 mse_y:589.67 mse_u:1.50 mse_v:1.93 psnr_avg:22.18 psnr_y:20.42 psnr_u:46.37 psnr_v:45.28 
n:81 mse_avg:536.03 mse_y:802.08 mse_u:3.62 mse_v:4.20 psnr_avg:20.84 psnr_y:19.09 psnr_u:42.55 psnr_v:41.90 
n:82 mse_avg:673.98 mse_y:1008.35 mse_u:4.88 mse_v:5.61 psnr_avg:19.84 psnr_y:18.09 psnr_u:41.25 psnr_v:40.64 
n:83 mse_avg:686.31 mse_y:1026.47 mse_u:5.58 mse_v:6.43 psnr_avg:19.77 psnr_y:18.02 psnr_u:40.67 psnr_v:40.05 
n:84 mse_avg:452.67 mse_y:678.00 mse_u:1.76 mse_v:2.26 psnr_avg:21.57 psnr_y:19.82 psnr_u:45.67 psnr_v:44.60 
n:85 mse_avg:338.61 mse_y:507.21 mse_u:1.18 mse_v:1.63 psnr_avg:22.83 psnr_y:21.08 psnr_u:47.42 psnr_v:46.01 
n:86 mse_avg:438.76 mse_y:656.90 mse_u:2.21 mse_v:2.78 psnr_avg:21.71 psnr_y:19.96 psnr_u:44.69 psnr_v:43.69 
n:87 mse_avg:453.90 mse_y:679.49 mse_u:2.47 mse_v:2.97 psnr_avg:21.56 psnr_y:19.81 psnr_u:44.20 psnr_v:43.40 
n:88 mse_avg:401.08 mse_y:600.60 mse_u:1.79 mse_v:2.30 psnr_avg:22.10 psnr_y:20.34 psnr_u:45.61 psnr_v:44.52 
n:89 mse_avg:410.22 mse_y:614.47 mse_u:1.54 mse_v:1.93 psnr_avg:22.00 psnr_y:20.25 psnr_u:46.27 psnr_v:45.27 
